#x_position,y_position
588,376
588,376
565,384
542,391
522,399
504,408
486,418
473,427
464,439
460,453
462,467
471,482
485,495
507,509
535,523
572,536
619,548
672,558
731,567
794,575
856,581
917,587
977,592
1031,598
1085,603
1136,606
1185,611
1233,616
1274,621
1315,627
1354,630
1390,636
1422,641
1454,646
1483,650
1511,655
1533,660
1556,664
1575,668
1591,673
1606,678
1619,681
1630,685
1638,690
1645,694
1648,698
1650,702
1651,707
1649,711
1645,714
1639,719
1629,723
1618,727
1606,731
1591,734
1574,737
1554,744
1531,747
1509,751
1483,755
1454,758
1424,763
1391,767
1356,772
1319,774
1279,780
1240,783
1195,787
1148,793
1099,795
1047,801
993,806
940,810
884,813
849,818
825,825
798,828
775,829
751,828
727,823
701,818
676,812
648,805
620,798
592,790
566,779
539,767
515,753
494,740
475,726
461,711
450,695
445,681
445,666
451,653
463,641
483,628
509,616
543,604
586,593
635,585
690,575
750,569
810,560
874,549
934,552
988,546
1039,544
1088,540
1137,534
1184,530
1230,524
1269,519
1308,514
1343,510
1380,504
1411,500
1441,495
1466,490
1492,484
1517,480
1536,475
1553,470
1570,465
1585,460
1595,454
1605,447
1612,443
1617,438
1620,431
1621,426
1620,420
1617,416
1611,409
1603,404
1593,398
1582,392
1566,385
1549,380
1530,375
1509,368
1484,360
1458,354
1429,348
1397,341
1363,335
1327,327
1289,320
1249,315
1203,308
1157,301
1109,294
1055,285
1001,280
944,272
905,269
882,268
868,267
855,270
842,274
829,277
817,280
804,282
790,285
775,286
760,288
744,290
726,291
707,294
688,296
669,298
649,301
629,303
609,307
588,311
567,316
545,323
524,331
503,339
485,349
470,361
459,374
453,388
452,402
455,415
465,426
481,438
504,448
532,458
569,466
617,473
671,478
731,483
795,490
861,494
927,500
990,503
1046,509
1103,515
1159,519
1209,522
1257,527
1304,530
1347,535
1388,541
1425,544
1462,548
1495,554
1526,557
1554,561
1583,565
1605,570
1626,573
1645,578
1662,580
1676,584
1687,588
1698,591
1707,594
1711,598
1715,601
1716,605
1716,608
1713,612
1709,615
1702,619
1692,622
1681,627
1668,631
1653,635
1636,638
1615,641
1593,643
1569,648
1542,651
1514,654
1482,656
1449,661
1414,665
1375,668
1334,671
1293,675
1248,678
1199,681
1150,684
1096,688
1039,691
983,693
919,698
870,700
838,710
814,719
790,719
765,717
738,714
709,710
680,708
650,706
620,703
592,698
565,692
540,684
518,676
501,667
489,658
483,649
485,641
493,632
510,623
533,614
566,606
608,598
659,590
717,584
779,580
845,570
906,568
966,569
1024,567
1076,564
1128,561
1179,559
1228,556
1271,554
1314,552
1354,548
1390,544
1424,542
1457,539
1487,537
1515,535
1540,530
1563,527
1585,524
1602,523
1619,520
1633,517
1647,514
1656,512
1663,509
1670,505
1673,502
1675,500
1673,496
1671,494
1666,490
1660,488
1650,486
1639,483
1624,478
1609,475
1591,473
1573,469
1549,467
1526,462
1499,459
1470,456
1441,451
1407,443
1373,442
1331,440
1292,437
1250,434
1204,430
1158,427
1109,422
1056,419
1001,415
946,410
887,407
840,401
821,404
800,404
775,401
752,394
722,400
692,394
657,394
625,391
593,390
564,388
540,390
519,395
505,402
494,410
492,420
496,429
508,439
527,449
555,459
593,470
642,479
699,488
762,496
831,503
899,509
966,516
1027,521
1087,526
1146,533
1201,538
1253,543
1304,550
1351,555
1395,559
1439,565
1478,571
1515,575
1549,581
1584,585
1612,590
1642,595
1665,600
1689,604
1709,609
1728,615
1744,618
1758,623
1771,629
1780,631
1787,637
1792,640
1795,645
1796,649
1796,653
1793,658
1787,663
1781,668
1772,671
1759,674
1745,680
1729,683
1712,688
1691,690
1668,694
1644,699
1616,704
1587,707
1555,712
1521,716
1485,722
1447,726
1404,731
1361,736
1315,740
1265,744
1217,750
1163,753
1106,758
1048,763
985,768
922,772
862,777
820,778
784,778
752,781
722,780
689,777
656,771
619,765
586,756
555,746
531,734
510,718
494,704
481,690
476,678
477,667
486,656
502,647
525,639
559,631
604,623
658,616
717,608
781,602
845,596
906,593
966,590
1023,585
1073,581
1125,576
1176,573
1223,569
1265,563
1308,561
1344,557
1382,552
1413,548
1447,544
1474,541
1500,536
1525,531
1546,527
1565,523
1583,519
1598,516
1610,512
1620,507
1629,503
1636,499
1640,495
1642,490
1641,487
1640,482
1634,478
1627,475
1619,467
1608,464
1595,461
1580,455
1562,450
1543,446
1523,441
1498,436
1472,431
1444,427
1413,421
1382,415
1346,410
1308,404
1267,399
1227,395
1184,390
1136,385
1087,380
1036,374
980,368
924,363
868,357
830,350
800,348
777,344
751,341
719,342
686,343
650,342
611,342
576,343
544,345
517,349
495,356
478,362
467,376
462,386
463,395
471,405
486,413
507,421
537,429
572,428
622,436
678,442
740,448
805,456
872,462
937,467
998,474
1054,478
1111,484
1166,487
1215,491
1265,495
1311,500
1352,505
1394,510
1432,514
1466,520
1498,524
1528,529
1555,533
1582,536
1604,542
1625,546
1644,550
1660,553
1674,557
1685,561
1695,564
1704,567
1710,573
1712,575
1713,579
1713,584
1710,588
1705,591
1698,592
1688,598
1677,600
1663,605
1649,608
1630,612
1610,615
1589,618
1564,622
1538,625
1509,629
1478,634
1446,637
1408,643
1372,644
1329,648
1287,652
1242,654
1194,659
1144,661
1092,665
1036,668
981,671
918,676
856,679
821,683
796,689
773,694
748,697
723,693
696,691
669,690
641,687
615,683
589,679
565,675
542,672
520,668
502,664
488,659
478,652
472,645
472,637
477,630
490,621
509,614
537,607
574,599
621,593
675,586
737,579
801,572
868,566
929,565
990,562
1045,558
1101,553
1156,548
1206,546
1255,540
1302,536
1343,532
1386,528
1423,523
1460,519
1494,515
1527,511
1557,507
1584,503
1608,498
1631,495
1653,490
1671,487
1687,483
1700,478
1713,474
1723,469
1729,465
1735,461
1738,456
1740,451
1738,448
1735,443
1730,438
1723,434
1714,428
1701,424
1687,418
1671,414
1653,410
1632,404
1608,399
1584,394
1554,389
1524,384
1490,379
1456,372
1416,366
1378,362
1334,356
1289,350
1243,344
1190,338
1136,331
1080,325
1024,318
961,314
904,309
869,310
848,305
825,293
800,295
773,297
747,302
716,308
684,315
653,322
622,330
592,338
564,347
538,357
519,369
504,382
497,397
498,411
506,424
522,438
544,451
575,464
615,476
663,489
720,499
781,507
845,513
909,519
973,525
1030,530
1083,537
1139,541
1192,546
1240,552
1285,556
1328,562
1371,566
1406,570
1443,575
1476,580
1507,584
1534,589
1560,593
1585,598
1605,602
1624,606
1642,610
1655,614
1667,618
1677,623
1684,627
1689,631
1693,637
1694,640
1693,645
1690,649
1684,652
1677,656
1667,660
1654,664
1640,669
1623,671
1603,676
1583,681
1559,684
1533,688
1505,693
1473,696
1442,700
1407,703
1370,708
1327,711
1285,715
1242,721
1190,726
1140,728
1090,734
1032,739
973,744
913,747
858,751
831,756
807,756
783,755
758,753
732,749
705,746
677,744
649,740
622,736
595,730
571,725
548,720
525,715
506,709
489,704
476,698
466,691
462,684
463,676
470,669
482,660
501,653
528,645
561,638
609,630
662,622
721,616
787,609
854,602
916,598
976,594
1034,589
1088,585
1141,578
1195,574
1242,569
1286,564
1330,560
1372,555
1407,551
1445,545
1475,541
1508,537
1535,531
1561,526
1586,521
1606,517
1626,512
1644,508
1659,503
1672,498
1683,494
1691,489
1697,485
1702,480
1704,475
1704,472
1702,467
1699,461
1693,455
1685,450
1675,444
1663,440
1649,434
1633,429
1615,423
1594,419
1572,414
1547,407
1521,402
1492,396
1461,391
1427,385
1392,380
1354,374
1314,368
1271,363
1227,357
1181,351
1130,345
1079,338
1027,331
970,327
910,320
849,313
808,311
782,310
758,309
734,307
707,309
679,312
648,317
616,325
584,334
553,344
527,355
505,367
485,380
468,392
455,404
445,415
439,427
438,439
441,450
448,461
459,473
475,484
497,497
525,510
562,521
609,532
660,541
717,550
779,556
842,563
901,568
960,573
1015,578
1062,582
1116,589
1165,594
1211,597
1252,603
1293,608
1329,613
1365,616
1398,622
1428,627
1457,631
1483,636
1507,641
1529,645
1547,650
1565,655
1580,659
1592,663
1602,668
1610,672
1615,676
1620,680
1622,684
1621,689
1619,694
1615,697
1608,702
1599,706
1589,709
1575,715
1559,720
1541,724
1521,729
1498,733
1474,738
1447,742
1416,746
1384,750
1350,754
1313,759
1273,763
1233,767
1190,773
1140,777
1092,781
1039,786
983,791
927,795
873,795
844,797
814,809
788,805
760,801
730,795
700,790
669,783
638,774
607,765
578,754
552,740
529,727
511,714
495,701
484,689
479,678
481,667
489,656
506,647
530,638
563,629
606,622
656,616
714,610
775,604
839,600
904,592
963,591
1021,587
1070,584
1122,579
1177,576
1223,572
1264,566
1310,558
1349,556
1385,554
1418,551
1451,547
1480,543
1509,539
1532,535
1554,531
1577,526
1594,523
1609,519
1624,516
1636,512
1645,509
1652,504
1657,500
1659,496
1660,494
1659,489
1656,485
1650,480
1643,478
1632,472
1619,467
1605,464
1589,460
1571,457
1549,451
1527,447
1501,441
1474,437
1444,433
1411,429
1378,423
1342,417
1303,412
1259,408
1217,404
1170,400
1119,395
1069,390
1017,385
958,380
901,375
843,368
810,366
785,368
764,367
742,368
716,373
689,376
660,376
630,376
599,377
569,378
539,381
513,386
488,392
467,398
451,410
439,417
432,426
429,435
431,445
439,455
452,465
470,475
494,486
523,497
563,505
612,515
668,522
729,530
792,538
857,543
919,549
980,554
1037,561
1090,566
1143,571
1194,577
1240,582
1282,588
1326,591
1367,596
1400,602
1437,608
1467,612
1496,616
1524,622
1548,627
1572,632
1592,636
1609,641
1624,647
1639,653
1650,657
1658,662
1664,666
1669,672
1671,675
1670,680
1668,684
1664,690
1657,694
1649,699
1638,705
1624,710
1608,714
1590,718
1570,725
1547,729
1521,734
1494,739
1465,744
1433,749
1396,753
1359,760
1321,764
1277,770
1234,774
1186,779
1135,785
1085,788
1028,795
969,799
908,805
854,810
823,812
802,815
781,815
760,813
736,809
711,807
687,804
664,800
642,794
621,788
600,780
579,771
559,762
540,753
523,744
508,734
495,724
483,713
474,702
470,691
471,681
478,669
490,659
510,650
539,641
578,633
627,623
684,614
746,605
813,600
878,598
940,597
1001,593
1056,591
1112,587
1166,583
1216,580
1262,578
1307,575
1349,572
1387,567
1422,566
1457,563
1489,561
1518,558
1545,555
1570,553
1592,549
1611,547
1629,544
1646,541
1659,538
1670,535
1679,530
1686,527
1691,524
1693,522
1694,518
1694,515
1690,512
1685,510
1678,505
1669,502
1657,499
1643,495
1627,492
1609,488
1589,485
1568,482
1543,478
1519,474
1488,469
1457,467
1425,463
1390,459
1353,454
1315,447
1270,444
1227,442
1181,439
1131,435
1081,430
1030,426
972,423
914,418
856,414
823,411
802,409
784,409
765,407
742,404
714,400
682,398
648,393
616,387
586,380
559,377
535,375
511,375
491,378
473,380
463,393
456,403
455,413
460,423
472,433
490,443
514,453
548,463
592,465
646,474
706,482
767,489
831,496
891,502
952,508
1009,512
1057,518
1112,525
1164,529
1210,535
1253,540
1298,547
1336,552
1375,557
1409,562
1442,566
1473,574
1501,579
1527,583
1550,588
1574,594
1592,599
1610,604
1624,609
1638,615
1648,619
1656,625
1662,630
1666,635
1668,639
1668,645
1665,649
1661,654
1655,660
1645,664
1634,670
1618,675
1602,679
1584,684
1563,690
1539,694
1515,700
1484,705
1453,710
1420,715
1383,721
1344,727
1305,731
1259,737
1212,744
1162,748
1108,753
1054,760
994,766
950,770
919,776
892,779
865,779
838,777
809,775
777,773
747,771
715,766
686,760
657,753
628,743
601,733
574,724
548,717
524,709
504,700
487,691
474,680
465,671
463,662
466,652
476,643
493,633
516,621
546,613
589,604
639,595
697,588
762,579
829,573
893,569
953,564
1016,558
1069,554
1121,547
1178,542
1228,538
1273,531
1318,526
1360,521
1400,515
1439,509
1470,505
1505,499
1533,494
1561,488
1587,484
1609,479
1630,474
1649,468
1666,463
1680,457
1692,452
1701,446
1709,443
1715,436
1718,431
1719,423
1718,419
1715,412
1709,407
1701,400
1692,395
1680,388
1666,383
1650,378
1630,370
1609,365
1587,356
1560,352
1532,345
1501,339
1468,330
1433,324
1397,318
1354,310
1314,303
1268,297
1218,289
1170,282
1117,276
1060,267
1000,260
941,253
902,256
880,271
861,277
844,256
821,273
799,278
778,282
756,285
733,287
708,291
681,298
652,306
623,313
594,320
567,326
543,331
520,338
500,345
483,354
469,363
460,373
457,383
459,394
466,405
478,414
497,424
522,433
554,442
594,451
646,458
703,466
765,474
830,481
895,488
961,496
1019,501
1073,507
1129,514
1180,519
1232,526
1275,531
1320,538
1360,545
1398,549
1435,555
1467,561
1498,567
1527,571
1551,576
1577,580
1597,586
1616,591
1632,595
1648,601
1661,606
1671,612
1679,615
1685,621
1690,626
1691,629
1692,635
1689,640
1685,645
1679,649
1671,655
1661,659
1648,664
1633,668
1616,672
1596,677
1576,681
1551,686
1525,690
1496,696
1466,699
1434,703
1399,708
1362,714
1321,719
1280,723
1237,728
1190,732
1143,736
1093,742
1039,746
983,750
927,755
868,759
820,764
796,768
768,770
742,776
714,776
686,770
657,764
628,757
598,749
567,740
540,730
515,717
495,703
479,688
467,674
459,659
458,645
464,632
477,619
499,606
527,595
567,585
616,576
673,568
735,560
799,551
864,547
925,545
983,542
1038,538
1095,534
1146,530
1195,525
1243,522
1287,516
1329,513
1372,509
1408,504
1444,501
1476,498
1507,493
1536,489
1561,486
1586,480
1607,477
1627,473
1645,468
1659,465
1672,460
1683,454
1691,449
1697,445
1702,442
1704,436
1704,432
1701,427
1697,423
1691,418
1682,413
1671,409
1658,404
1643,399
1624,394
1604,388
1582,383
1556,379
1528,374
1498,369
1466,362
1430,356
1393,349
1353,346
1312,338
1265,332
1217,326
1168,318
1114,313
1056,307
998,301
934,292
879,289
846,294
828,296
807,300
784,305
764,309
742,311
720,314
698,314
674,317
648,321
620,326
591,332
563,338
538,345
514,350
495,358
481,367
471,380
468,393
473,405
485,416
505,428
533,438
568,449
614,462
667,471
726,481
790,490
855,498
917,506
980,513
1036,519
1090,526
1144,534
1194,541
1241,549
1285,555
1328,563
1368,568
1402,574
1438,580
1469,588
1497,593
1524,599
1548,606
1571,612
1590,618
1606,624
1622,629
1634,635
1645,642
1653,647
1659,653
1662,659
1664,665
1663,670
1660,677
1656,681
1648,687
1640,694
1627,699
1612,704
1596,711
1577,717
1556,722
1533,728
1508,735
1479,740
1449,746
1416,751
1381,757
1344,763
1305,769
1263,775
1218,779
1171,786
1118,792
1065,797
1012,803
952,810
894,816
852,824
826,830
799,834
774,835
748,834
719,831
690,827
661,822
631,816
605,806
578,798
554,788
532,777
512,766
495,754
482,741
473,729
470,716
472,706
482,696
500,686
526,678
559,671
607,664
661,658
721,652
786,646
850,642
910,641
969,638
1026,633
1079,629
1131,626
1180,621
1228,614
1271,612
1314,607
1352,602
1388,600
1423,597
1455,593
1485,588
1513,585
1538,581
1561,576
1582,573
1600,568
1616,563
1630,561
1643,557
1652,552
1658,547
1663,543
1666,538
1667,534
1666,530
1663,525
1659,522
1653,517
1644,514
1629,510
1616,505
1599,499
1580,495
1558,489
1535,485
1509,480
1479,475
1449,471
1415,466
1380,462
1340,455
1301,449
1257,444
1210,439
1163,432
1111,426
1057,422
1000,416
943,409
881,405
829,401
806,405
779,408
751,403
723,399
692,395
662,394
631,392
601,392
572,390
544,392
517,395
495,399
474,405
458,413
446,423
440,434
440,446
443,459
452,473
466,484
485,496
511,508
544,520
585,531
635,539
691,548
751,554
814,560
878,565
940,568
999,572
1054,577
1108,581
1160,585
1209,587
1252,593
1295,595
1334,598
1373,600
1405,605
1439,609
1469,611
1496,613
1521,617
1543,621
1563,624
1582,627
1597,631
1610,633
1621,636
1630,639
1636,642
1641,646
1643,647
1642,649
1640,653
1635,655
1627,657
1617,659
1606,662
1593,666
1578,667
1559,670
1538,673
1515,675
1489,678
1461,681
1432,682
1400,686
1364,688
1326,691
1287,693
1246,697
1200,699
1154,701
1104,705
1050,707
996,708
939,713
889,715
862,717
846,720
832,722
817,723
799,725
780,727
759,729
737,732
715,734
692,735
669,736
644,736
619,736
593,735
568,734
543,733
520,730
498,726
478,720
463,714
450,706
441,698
438,688
439,677
446,666
459,655
477,644
505,632
540,622
586,611
641,601
702,592
766,586
832,582
893,582
954,579
1013,577
1064,573
1115,570
1172,567
1218,565
1263,561
1307,557
1348,555
1386,553
1420,548
1455,545
1486,541
1515,538
1541,534
1565,531
1588,527
1607,525
1625,521
1642,517
1654,513
1665,510
1673,506
1679,504
1684,499
1686,496
1686,492
1685,489
1680,485
1674,482
1666,477
1655,474
1642,468
1626,464
1608,460
1588,457
1566,451
1541,447
1515,443
1484,438
1453,434
1418,429
1383,425
1343,419
1301,416
1256,411
1210,405
1162,401
1108,395
1054,390
994,386
934,381
874,373
833,377
809,377
787,376
760,379
732,378
706,377
678,376
651,376
623,378
595,381
568,382
543,386
518,390
498,397
479,404
464,414
454,426
449,439
451,454
458,469
472,483
