#x_position,y_position
1442,732
1442,732
1417,737
1390,742
1360,748
1329,753
1295,758
1257,763
1219,769
1177,773
1132,778
1088,783
1037,789
986,795
930,798
876,804
854,809
837,809
821,809
804,808
785,808
765,808
745,809
724,809
701,807
679,804
656,802
632,800
607,799
583,798
559,795
537,792
516,789
497,784
481,780
467,774
454,768
444,761
435,754
430,747
429,739
432,732
439,723
451,714
468,705
492,696
522,686
558,678
601,669
651,660
707,653
765,644
822,635
876,630
928,627
980,619
1035,611
1077,606
1119,602
1163,593
1202,586
1238,579
1271,575
1306,567
1333,562
1361,555
1387,549
1410,542
1431,534
1449,528
1466,522
1480,514
1492,508
1502,502
1510,494
1516,488
1520,482
1521,475
1521,469
1517,461
1513,455
1505,448
1496,441
1484,433
1471,426
1454,418
1435,412
1415,403
1392,396
1366,388
1337,380
1306,371
1272,363
1237,355
1197,346
1155,339
1113,330
1064,321
1016,311
961,303
922,298
905,295
889,294
874,296
858,298
842,301
824,303
805,307
783,311
760,314
735,319
708,324
681,329
653,334
625,338
597,344
569,351
541,357
515,365
494,375
476,386
465,395
458,407
455,419
458,432
465,444
478,456
498,465
524,475
559,484
598,493
645,501
699,509
759,516
824,525
887,529
957,538
1014,541
1080,545
1132,554
1180,557
1228,563
1273,568
1317,569
1358,576
1394,580
1429,585
1463,590
1493,595
1521,598
1546,603
1570,607
1590,613
1608,616
1624,620
1638,625
1649,629
1658,634
1664,638
1669,642
1671,646
1672,649
1670,653
1667,657
1661,660
1653,666
1642,670
1630,674
1615,678
1599,683
1579,687
1559,691
1535,694
1509,699
1480,703
1451,707
1418,710
1384,717
1347,722
1308,726
1264,729
1221,732
1176,735
1125,740
1074,745
1021,747
964,753
906,756
845,759
815,764
795,768
778,772
762,773
747,773
731,773
715,772
698,772
681,769
662,766
644,762
625,757
605,752
585,745
563,739
541,732
520,723
498,715
481,703
467,693
456,677
447,664
441,650
439,636
442,623
450,610
464,599
483,587
513,577
549,568
592,557
644,546
705,536
767,529
834,521
897,523
963,519
1024,516
1078,514
1127,516
1180,507
1228,505
1274,501
1318,499
1358,495
1397,492
1433,488
1467,484
1498,481
1528,477
1554,474
1580,469
1602,466
1622,463
1641,458
1656,453
1670,450
1680,445
1690,444
1697,438
1702,434
1705,431
1706,428
1705,423
1702,420
1696,416
1689,411
1680,407
1668,403
1654,398
1638,393
1619,389
1598,383
1576,379
1549,374
1522,370
1490,365
1459,359
1423,355
1387,351
1344,344
1303,340
1256,335
1208,329
1158,323
1106,319
1048,313
991,307
925,301
868,300
848,299
827,312
802,308
775,311
749,317
722,323
695,331
668,338
638,349
609,360
582,374
558,388
537,404
525,420
523,437
530,452
545,463
569,474
599,484
637,493
682,503
737,513
797,520
862,527
926,532
993,536
1061,541
1114,549
1166,551
1217,557
1265,558
1311,563
1355,567
1396,571
1433,574
1470,578
1503,582
1533,586
1562,590
1588,592
1611,596
1632,600
1651,604
1668,608
1682,611
1694,615
1704,618
1711,621
1716,625
1720,627
1721,630
1720,635
1717,637
1712,640
1705,643
1695,647
1683,650
1670,653
1654,657
1635,660
1615,663
1593,666
1568,671
1540,673
1511,675
1480,679
1446,683
1410,684
1371,688
1329,691
1287,694
1242,696
1192,700
1144,701
1091,706
1034,709
977,713
914,716
850,722
795,724
769,734
745,738
722,734
698,730
674,722
649,715
624,708
598,700
573,693
552,683
534,674
519,662
509,652
504,640
509,629
522,619
543,612
572,605
611,599
658,593
714,584
776,575
843,570
904,571
965,569
1029,565
1084,558
1133,555
1187,553
1237,550
1282,545
1326,541
1368,537
1406,533
1444,528
1477,526
1509,521
1539,518
1566,511
1591,509
1615,506
1636,502
1655,497
1671,493
1685,489
1697,484
1707,481
1714,476
1721,472
1724,467
1725,463
1724,459
1721,454
1717,451
1709,445
1699,442
1688,435
1673,432
1658,426
1638,421
1617,415
1593,411
1568,405
1539,401
1509,395
1474,390
1438,384
1399,379
1358,375
1314,368
1264,362
1215,356
1163,350
1110,345
1048,337
985,332
939,326
918,321
901,319
882,334
861,338
839,342
814,343
786,347
756,352
726,358
693,361
660,364
627,367
597,372
567,379
542,385
522,395
507,404
500,416
499,427
507,438
522,447
545,454
575,463
614,470
657,476
710,483
769,491
834,499
900,505
969,511
1033,514
1088,518
1138,527
1192,527
1243,532
1289,536
1332,539
1375,545
1414,547
1450,551
1483,556
1515,559
1544,561
1572,566
1595,571
1617,574
1636,577
1654,580
1667,583
1680,587
1689,589
1697,593
1703,596
1707,599
1708,602
1707,606
1704,607
1699,610
1691,613
1681,616
1670,620
1656,623
1640,626
1622,628
1601,631
1579,634
1552,637
1525,640
1496,643
1463,646
1430,650
1392,652
1355,654
1315,657
1268,660
1222,663
1175,667
1125,668
1068,672
1015,675
953,679
892,683
828,685
804,687
781,693
755,691
730,689
705,683
681,677
654,671
628,665
601,658
577,650
556,643
537,635
522,626
510,616
501,605
500,595
505,587
518,581
537,575
564,568
599,560
643,552
696,542
753,537
815,524
883,524
942,527
1000,528
1061,523
1111,522
1161,520
1209,519
1254,517
1299,514
1336,513
1375,510
1409,507
1441,505
1471,504
1499,503
1525,500
1548,497
1569,496
1587,494
1603,492
1617,490
1630,487
1640,485
1647,483
1652,480
1656,478
1657,476
1657,474
1654,471
1650,469
1643,467
1633,464
1623,462
1609,460
1594,457
1578,456
1558,452
1536,449
1512,445
1486,443
1459,441
1428,437
1395,432
1361,427
1323,426
1282,425
1243,422
1198,420
1152,416
1103,413
1052,411
997,407
942,404
880,401
819,398
795,390
776,382
754,382
731,383
707,383
681,384
655,386
627,384
598,383
572,380
549,378
528,379
508,381
492,386
480,394
474,403
477,413
486,424
504,434
527,444
557,454
595,464
640,475
693,484
755,492
818,500
883,505
951,510
1011,515
1072,521
1121,528
1175,533
